GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59610,"JPMorgan Chase, Sydney",784028,202306,-10341783.67
59610,"JPMorgan Chase, Sydney",784028,201807,-3839016.02
59610,"JPMorgan Chase, Sydney",784028,202308,-17190607
59610,"JPMorgan Chase, Sydney",784028,202309,-14458160.44
59610,"JPMorgan Chase, Sydney",784028,202310,8083634.23
59610,"JPMorgan Chase, Sydney",784028,202311,338373.27
59610,"JPMorgan Chase, Sydney",784028,202312,-87708870.55
59610,"JPMorgan Chase, Sydney",784028,202401,49021645.16
59610,"JPMorgan Chase, Sydney",784028,202402,1167564.03
59610,"JPMorgan Chase, Sydney",784028,202403,-4342801.98
59610,"JPMorgan Chase, Sydney",784028,202404,-9757639.73
59610,"JPMorgan Chase, Sydney",784028,202405,-2878350.85
59610,"JPMorgan Chase, Sydney",784028,202406,-9065218.77
59611,"JPMorgan Chase, Sydney FX",784031,202001,158852.72
59611,"JPMorgan Chase, Sydney FX",784031,202002,-17385.3
59611,"JPMorgan Chase, Sydney FX",784031,202003,133364.8
59611,"JPMorgan Chase, Sydney FX",784031,202004,-16720533.34
59611,"JPMorgan Chase, Sydney FX",784031,202005,-62270.21
59611,"JPMorgan Chase, Sydney FX",784031,202006,-1220223.01
59611,"JPMorgan Chase, Sydney FX",784031,202007,465001.89
59611,"JPMorgan Chase, Sydney FX",784031,202008,-850692.2
59611,"JPMorgan Chase, Sydney FX",784031,202009,622252.76
59611,"JPMorgan Chase, Sydney FX",784031,202010,-505183.92
59611,"JPMorgan Chase, Sydney FX",784031,202011,-413598.79
59611,"JPMorgan Chase, Sydney FX",784031,202012,-264653.56
59611,"JPMorgan Chase, Sydney FX",784031,202101,311359.51
59611,"JPMorgan Chase, Sydney FX",784031,202102,-838878.25
59611,"JPMorgan Chase, Sydney FX",784031,202103,-1538895.69
59611,"JPMorgan Chase, Sydney FX",784031,202104,125569.36
59611,"JPMorgan Chase, Sydney FX",784031,202105,1532071.1
59611,"JPMorgan Chase, Sydney FX",784031,202106,-816008.61
59611,"JPMorgan Chase, Sydney FX",784031,202107,-409192.21
59611,"JPMorgan Chase, Sydney FX",784031,202108,-319134.19
59611,"JPMorgan Chase, Sydney FX",784031,202109,-483689.99
59611,"JPMorgan Chase, Sydney FX",784031,202110,354657.28
59611,"JPMorgan Chase, Sydney FX",784031,202111,426045.81
59611,"JPMorgan Chase, Sydney FX",784031,202112,1161797.83
59611,"JPMorgan Chase, Sydney FX",784031,202201,-1480523.65
59611,"JPMorgan Chase, Sydney FX",784031,202202,-526768.25
59611,"JPMorgan Chase, Sydney FX",784031,202203,-5983.34
59611,"JPMorgan Chase, Sydney FX",784031,202204,764493.97
59611,"JPMorgan Chase, Sydney FX",784031,202205,141263.29
59611,"JPMorgan Chase, Sydney FX",784031,202206,-800491.96
59611,"JPMorgan Chase, Sydney FX",784031,202207,-1267445.59
59611,"JPMorgan Chase, Sydney FX",784031,202208,62783.68
59611,"JPMorgan Chase, Sydney FX",784031,202209,388474.04
59611,"JPMorgan Chase, Sydney FX",784031,202210,671227.03
59611,"JPMorgan Chase, Sydney FX",784031,202211,-390309.34
59611,"JPMorgan Chase, Sydney FX",784031,202212,-695154.7
59611,"JPMorgan Chase, Sydney FX",784031,202301,-1305926.47
59611,"JPMorgan Chase, Sydney FX",784031,201802,956340
59611,"JPMorgan Chase, Sydney FX",784031,202303,783555.88
59611,"JPMorgan Chase, Sydney FX",784031,202304,417896.47
